id,inclbw,permor,UniqueKey,Recstatus
1,8.170000076,1.899999976,1,1
2,8.350000381,1.590000033,2,1
3,8.869999886,1.539999962,3,1
4,7.590000153,1.879999995,4,1
5,6.980000019,1.279999971,5,1
6,8.890000343,1.960000038,6,1
7,10.46000004,2.25999999,7,1
8,9.539999962,1.860000014,8,1
9,9,1.5,9,1
10,5.949999809,1.269999981,10,1
11,6.150000095,1.590000033,11,1
12,6.28000021,1.049999952,12,1
13,8.800000191,1.679999948,13,1
14,9.289999962,1.669999957,14,1
15,9.399999619,1.919999957,15,1
16,8.649999619,1.470000029,16,1
17,9.229999542,1.99000001,17,1
18,10.48999977,1.919999957,18,1
19,10.10000038,1.779999971,19,1
20,9.600000381,1.529999971,20,1
