type_wall,hh_contact,case,idnr
1,0,14,1
2,0,86,2
3,0,90,3
1,1,1,4
2,1,10,5
3,1,6,6
1,0,14,7
1,0,14,8
1,0,14,9
1,0,14,10
1,0,14,11
1,0,14,12
1,0,14,13
1,0,14,14
1,0,14,15
1,0,14,16
1,0,14,17
1,0,14,18
1,0,14,19
1,0,14,20
1,0,14,21
1,0,14,22
1,0,14,23
1,0,14,24
1,0,14,25
1,0,14,26
1,0,14,27
1,0,14,28
1,0,14,29
1,0,14,30
1,0,14,31
1,0,14,32
1,0,14,33
1,0,14,34
1,0,14,35
1,0,14,36
1,0,14,37
1,0,14,38
1,0,14,39
1,0,14,40
1,0,14,41
1,0,14,42
1,0,14,43
1,0,14,44
1,0,14,45
1,0,14,46
1,0,14,47
1,0,14,48
1,0,14,49
1,0,14,50
1,0,14,51
1,0,14,52
1,0,14,53
1,0,14,54
1,0,14,55
1,0,14,56
1,0,14,57
1,0,14,58
1,0,14,59
1,0,14,60
1,0,14,61
1,0,14,62
1,0,14,63
1,0,14,64
1,0,14,65
1,0,14,66
1,0,14,67
1,0,14,68
1,0,14,69
1,0,14,70
1,0,14,71
1,0,14,72
1,0,14,73
1,0,14,74
1,0,14,75
1,0,14,76
1,0,14,77
1,0,14,78
1,0,14,79
1,0,14,80
1,0,14,81
1,0,14,82
1,0,14,83
1,0,14,84
1,0,14,85
1,0,14,86
1,0,14,87
1,0,14,88
1,0,14,89
1,0,14,90
1,0,14,91
1,0,14,92
1,0,14,93
1,0,14,94
1,0,14,95
1,0,14,96
1,0,14,97
1,0,14,98
1,0,14,99
1,0,14,100
1,0,14,101
1,0,14,102
1,0,14,103
1,0,14,104
1,0,14,105
1,0,14,106
1,0,14,107
1,0,14,108
1,0,14,109
1,0,14,110
1,0,14,111
1,0,14,112
1,0,14,113
1,0,14,114
1,0,14,115
1,0,14,116
1,0,14,117
1,0,14,118
1,0,14,119
1,0,14,120
1,0,14,121
1,0,14,122
1,0,14,123
1,0,14,124
1,0,14,125
1,0,14,126
1,0,14,127
1,0,14,128
1,0,14,129
1,0,14,130
1,0,14,131
1,0,14,132
1,0,14,133
1,0,14,134
1,0,14,135
1,0,14,136
1,0,14,137
1,0,14,138
1,0,14,139
1,0,14,140
1,0,14,141
1,0,14,142
1,0,14,143
1,0,14,144
1,0,14,145
1,0,14,146
1,0,14,147
1,0,14,148
1,0,14,149
1,0,14,150
1,0,14,151
1,0,14,152
1,0,14,153
1,0,14,154
1,0,14,155
1,0,14,156
1,0,14,157
1,0,14,158
1,0,14,159
1,0,14,160
1,0,14,161
1,0,14,162
1,0,14,163
1,0,14,164
1,0,14,165
1,0,14,166
1,0,14,167
1,0,14,168
1,0,14,169
1,0,14,170
1,0,14,171
1,0,14,172
1,0,14,173
1,0,14,174
1,0,14,175
1,0,14,176
1,0,14,177
1,0,14,178
1,0,14,179
1,0,14,180
1,0,14,181
1,0,14,182
1,0,14,183
1,0,14,184
1,0,14,185
1,0,14,186
1,0,14,187
1,0,14,188
1,0,14,189
1,0,14,190
1,0,14,191
1,0,14,192
1,0,14,193
1,0,14,194
1,0,14,195
1,0,14,196
1,0,14,197
1,0,14,198
1,0,14,199
1,0,14,200
1,0,14,201
1,0,14,202
1,0,14,203
1,0,14,204
1,0,14,205
1,0,14,206
1,0,14,207
1,0,14,208
1,0,14,209
1,0,14,210
1,0,14,211
1,0,14,212
1,0,14,213
1,0,14,214
1,0,14,215
1,0,14,216
1,0,14,217
1,0,14,218
1,0,14,219
1,0,14,220
1,0,14,221
1,0,14,222
1,0,14,223
1,0,14,224
1,0,14,225
1,0,14,226
1,0,14,227
1,0,14,228
1,0,14,229
1,0,14,230
1,0,14,231
1,0,14,232
1,0,14,233
1,0,14,234
1,0,14,235
1,0,14,236
1,0,14,237
1,0,14,238
1,0,14,239
1,0,14,240
1,0,14,241
1,0,14,242
1,0,14,243
1,0,14,244
1,0,14,245
1,0,14,246
1,0,14,247
1,0,14,248
1,0,14,249
